EMP_NO,FIRST_NAME,MIDDLE_INITIAL,LAST_NAME,SSN,ADDRESS,ADDRESS_2,CITY,STATE,ZIP,PHONE_NO,EMAIL,JOBTITLE,HIREDATE,DOB,FEDFILINGSTATUS,WORKSTATE,BANK_RTN,BANK_ACC,BANK_NAME,BANK_TYPE,EMP_STATUS,PAYCODE,PAYRATE
101000,Eric,,Lane,123456789,458 Country Club Dr.,,Sugar Land,TX,77078,8328561155,employee1@gmail.com,Accountant,8/18/2020,6/5/1993,Single or Married filing separately,TX,235483141,1235483141,Mega Bank,Checking,Active,Salary,120000
101001,Jamel,,Bardney,123456790,2125 Georgia st,Apt#234,Sugar Land,TX,77507,8328561156,employee2@gmail.com,Team Member,9/12/2020,7/9/2005,Single or Married filing separately,TX,321541313,1321541313,Prinko Bank,Checking,Active,Hourly,15
101002,Chudier,,Chuol,123456791,304 W 15th,,Woodlands,TX,77408,8328561157,employee3@gmail.com,HR Officer,10/7/2020,7/3/1993,Married or filing jointly,TX,001215445,1215445,Rolling Bank,Checking,Active,Salary,75000
101003,Ivonne,,Peralta Velazquez,123456792,7420 Penn ave s,,Woodlands,TX,77654,8328561158,employee4@gmail.com,Financial Analyst,11/1/2020,12/15/1989,Married or filing jointly,TX,546931354,21546931354,Mega Bank,Checking,Active,Hourly,40
101004,Terano,,McCann,123456793,4233 Clark Drive,,Houston,TX,77215,8328561159,employee5@gmail.com,IT Manager,11/26/2020,3/26/2000,Single or Married filing separately,TX,564642132,1564642132,Prinko Bank,Checking,Active,Salary,75000
101005,Thomas,E,Hendricks,123456794,1115 E. 5th Street,,Houston,TX,77555,8328561160,employee6@gmail.com,Business Analyst,12/21/2020,9/13/1971,Single or Married filing separately,TX,136564123,2136564123,Rolling Bank,Checking,Active,Hourly,45
101006,Marcell,,Mitchell,123456795,2556 Pinkney St,,Houston,TX,77412,8328561161,employee7@gmail.com,Team Member,1/15/2021,5/26/2004,Single or Married filing separately,TX,643139846,1.68486E+13,Mega Bank,Checking,Active,Hourly,17
101009,Dewayne,,Chester,123456798,4615 Johnson St.,,Houston,TX,77685,8328561164,employee10@gmail.com,Team Member,3/31/2021,3/1/1974,Single or Married filing separately,TX,569746414,569746414,Great Bank,Checking,Active,Hourly,15
101010,Diamond,,Jones,123456899,142 w 22nd street,,Houston,TX,77361,8328561165,employee11@gmail.com,Team Member,8/18/2021,11/23/1976,Single or Married filing separately,TX,016874136,16874136,Prinko Bank,Checking,Active,Hourly,18
101011,Malik,I,Charleston ,123456800,11e151st,,Sugar Land,TX,77078,8328561166,employee12@gmail.com,Accountant,5/20/2021,5/15/2004,Single or Married filing separately,TX,235483141,1235483141,Mega Bank,Checking,Active,Hourly,35
101022,Brittney,,Hill,123456811,274 Roosevelt st,,Sugar Land,TX,77078,8328561177,employee23@gmail.com,,8/18/2021,12/19/1997,Single or Married filing separately,TX,235483141,1235483141,Mega Bank,Checking,Active,Hourly,35
101023,Ikeisha,,Johnson,123456812,18164 hwy 65 ne 14 55011,14,Sugar Land,TX,77507,8328561178,employee24@gmail.com,Team Member,8/18/2021,5/29/2004,Single or Married filing separately,TX,123456789,,Prinko Bank,Checking,Active,Hourly,15
101024,Kimberly,,Flores Perez,123456813,6338 N Talman Ave,1,Woodlands,TX,77408,8328561179,employee25@gmail.com,HR Officer,8/18/2021,6/28/2003,Single or Married filing separately,TX,001215445,1215445,Rolling Bank,Checking,Active,Hourly,30
101025,Miracle,,Thomas,,8930 south Elizabeth,House,Woodlands,TX,77654,8328561180,employee26@gmail.com,Financial Analyst,8/18/2021,11/24/2002,Single or Married filing separately,TX,546931354,21546931354,Mega Bank,Checking,Active,Hourly,40
101026,Nallely,,Ramirez,123456815,9233 S Tripp,,Houston,TX,77215,8328561181,employee27@gmail.com,IT Manager,8/18/2021,5/31/1997,Single or Married filing separately,TX,564642132,1564642132,Prinko Bank,Checking,Active,Hourly,50
101027,Jermaine,T,Haynie,123456816,4406 Vernon Ave,,Houston,TX,77555,8328561182,employee28@gmail.com,Business Analyst,8/18/2021,7/11/1985,Single or Married filing separately,TX,136564123,2136564123,Rolling Bank,Checking,Active,Hourly,45
101028,Michaela,,Rafferty,123456817,301 North Riverfront Drive 203,,Richmond,TX,77412,8328561183,employee29@gmail.com,Team Member,,8/8/1992,Single or Married filing separately,TX,643139846,16848643139846,Mega Bank,Checking,Active,Hourly,17
101029,Troydell,C,Hampton,123456818,187 East 24th Street,,Houston,TX,77658,8328561184,employee30@gmail.com,Team Member,8/18/2021,11/5/1988,Married or filing jointly,TX,864318771,164864318771,Prinko Bank,Checking,Active,Hourly,15
101030,Teresa,T,Jones,123456819,414 w Lincoln hwy,,Houston,TX,77258,8328561185,employee31@gmail.com,Law Manager,8/18/2021,6/24/1984,Married or filing jointly,TX,516461313,516461313,Rolling Bank,Checking,Active,Hourly,65
101031,Timothy,,King,123456820,2110 S 5th Ave,207,Houston,TX,77685,8328561186,employee32@gmail.com,Team Member,8/18/2021,3/3/1988,Single or Married filing separately,TX,569746414,569746414,Great Bank,Checking,Active,Hourly,15
101032,Douglas,,Allison,123456821,11919 Cryer ave,102,Houston,TX,77361,8328561187,employee33@gmail.com,Team Member,8/18/2021,10/17/1988,Single or Married filing separately,TX,016874136,16874136,Prinko Bank,Checking,Active,Hourly,17
