EMP_NO,FIRST_NAME,MIDDLE_INITIAL,LAST_NAME,SSN,ADDRESS,ADDRESS_2,CITY,STATE,ZIP,PHONE_NO,EMAIL,JOBTITLE,HIREDATE,DOB,FEDFILINGSTATUS,WORKSTATE,BANK_RTN,BANK_ACC,BANK_NAME,BANK_TYPE,EMP_STATUS,PAYCODE,PAYRATE
101000,Eric,,Lane,123456789,458 Country Club Dr.,,Sugar Land,TX,77078,8328561155,employee1@gmail.com,Accountant,8/18/2020,06/05/1993,Single or Married filing separately,TX,256074974,1235483141,Mega Bank,Checking,Active,Salary,120000
101001,Jamel,,Bardney,123456790,2125 Georgia st,Apt#234,Sugar Land,TX,77507,8328561156,employee2@gmail.com,Team Member,9/12/2020,07/09/2005,Single or Married filing separately,TX,124085244,1321541313,Prinko Bank,Checking,Active,Hourly,15
101002,Chudier,,Chuol,123456791,304 W 15th,,Woodlands,TX,77408,8328561157,employee3@gmail.com,HR Officer,10/7/2020,07/03/1993,Head of Household,TX,124085244,1215445,Rolling Bank,Checking,Active,Salary,75000
101003,Ivonne,,Peralta Velazquez,123456792,7420 Penn ave s,,Woodlands,TX,77654,8328561158,employee4@gmail.com,Financial Analyst,11/1/2020,12/15/1989,Married or filing jointly,TX,091000019,21546931354,Mega Bank,Checking,Active,Hourly,40
101004,Terano,,McCann,123456793,4233 Clark Drive,,Houston,TX,77215,8328561159,employee5@gmail.com,IT Manager,11/26/2020,03/26/2000,Single or Married filing separately,TX,103100195,1564642132,Prinko Bank,Checking,Active,Salary,75000
101005,Thomas,E,Hendricks,123456794,1115 E. 5th Street,,Houston,TX,77555,8328561160,employee6@gmail.com,Business Analyst,12/21/2020,09/13/1971,Single or Married filing separately,TX,073905912,2136564123,Rolling Bank,Checking,Active,Hourly,45
101006,Marcell,,Mitchell,123456795,2556 Pinkney St,,Houston,TX,77412,8328561161,employee7@gmail.com,Team Member,1/15/2021,05/26/2004,Single or Married filing separately,TX,124085244,16848643139846,Mega Bank,Checking,Active,Hourly,17
101007,Valarie,,Lopez,123456796,626 Roush Lane,,Houston,TX,77658,8328561162,employee8@gmail.com,Team Member,2/9/2021,10/08/1995,Head of Household,TX,041215663,164864318771,Prinko Bank,Checking,Active,Hourly,15
101008,James,E,Wimbush,123456797,240 Hobart St.,,Houston,TX,77258,8328561163,employee9@gmail.com,Law Manager,3/6/2021,11/03/1974,Single or Married filing separately,TX,124085244,516461313,Rolling Bank,Checking,Active,Salary,95000
101009,Dewayne,,Chester,123456798,4615 Johnson St.,,Houston,TX,77685,8328561164,employee10@gmail.com,Team Member,3/31/2021,03/01/1974,Single or Married filing separately,TX,124085244,569746414,Great Bank,Checking,Active,Hourly,15
101010,Diamond,,Zamora,123456799,142 w 22nd street,,Houston,TX,77361,8328561165,employee11@gmail.com,Team Member,4/25/2021,11/23/1976,Single or Married filing separately,TX,091408734,16874136,Prinko Bank,Checking,Active,Hourly,17
101011,Malik,I,Charleston ,123456800,11e151st,,Sugar Land,TX,77078,8328561166,employee12@gmail.com,Accountant,5/20/2021,05/15/2004,Single or Married filing separately,TX,256074974,1235483141,Mega Bank,Checking,Active,Hourly,35
