EMP_NO,FIRST_NAME,MIDDLE_INITIAL,LAST_NAME,SSN,ADDRESS,ADDRESS_2,CITY,STATE,ZIP,PHONE_NO,EMAIL,JOBTITLE,HIREDATE,DOB,FEDFILINGSTATUS,WORKSTATE,BANK_RTN,BANK_ACC,BANK_NAME,BANK_TYPE,EMP_STATUS,PAYCODE,PAYRATE
101010,Diamond,,Jones,123456899,142 w 22nd street,,Houston,TX,77361,8328561165,employee11@gmail.com,Team Member,8/18/2021,11/23/1976,Single or Married filing separately,TX,016874136,16874136,Prinko Bank,Checking,Active,Salary,45862
101022,Brittney,,Hill,123456811,274 Roosevelt st,,Sugar Land,TX,77078,8328561177,employee23@gmail.com,,8/18/2021,12/19/1997,Single or Married filing separately,TX,235483141,1235483141,Mega Bank,Checking,Active,Salary,15411
101023,Ikeisha,,Johnson,123456812,18164 hwy 65 ne 14 55011,14,Sugar Land,TX,77507,8328561178,employee24@gmail.com,Team Member,8/18/2021,5/29/2004,Single or Married filing separately,TX,00000000,,Prinko Bank,Checking,Active,Salary,15477
101024,Kimberly,,Flores Perez,123456813,6338 N Talman Ave,1,Woodlands,TX,77408,8328561179,employee25@gmail.com,HR Officer,8/18/2021,6/28/2003,Single or Married filing separately,TX,001215445,1215445,Rolling Bank,Checking,Active,Salary,15477
101025,Miracle,,Thomas,,8930 south Elizabeth,House,Woodlands,TX,77654,8328561180,employee26@gmail.com,Financial Analyst,8/18/2021,11/24/2002,Single or Married filing separately,TX,546931354,21546931354,Mega Bank,Checking,Active,Hourly,40
101026,Nallely,,Ramirez,123456815,9233 S Tripp,,Houston,TX,77215,8328561181,employee27@gmail.com,IT Manager,8/18/2021,5/31/1997,Single or Married filing separately,TX,564642132,1564642132,Prinko Bank,Checking,Active,Salary,96111
101027,Jermaine,T,Haynie,123456816,4406 Vernon Ave,,Houston,TX,77555,8328561182,employee28@gmail.com,Business Analyst,8/18/2021,7/11/1985,Single or Married filing separately,TX,136564123,2136564123,Rolling Bank,Checking,Active,Salary,15412
101028,Michaela,,Rafferty,123456817,301 North Riverfront Drive 203,,Richmond,TX,77412,8328561183,employee29@gmail.com,Team Member,,8/8/1992,Single or Married filing separately,TX,643139846,1.68486E+13,Mega Bank,Checking,Active,Hourly,17
101029,Troydell,C,Hampton,123456818,187 East 24th Street,,Houston,TX,77658,8328561184,employee30@gmail.com,Team Member,8/18/2021,11/5/1988,Married or filing jointly,TX,864318771,1.64864E+11,Prinko Bank,Checking,Active,Salary,15111
101030,Teresa,T,Jones,123456819,414 w Lincoln hwy,,Houston,TX,77258,8328561185,employee31@gmail.com,Law Manager,8/18/2021,6/24/1984,Married or filing jointly,TX,516461313,516461313,Rolling Bank,Checking,Active,Salary,45862
101031,Timothy,,King,123456820,2110 S 5th Ave,207,Houston,TX,77685,8328561186,employee32@gmail.com,Team Member,8/18/2021,3/3/1988,Single or Married filing separately,TX,569746414,569746414,Great Bank,Checking,Active,Salary,15412
101032,Douglas,,Allison,123456821,11919 Cryer ave,102,Houston,TX,77361,8328561187,employee33@gmail.com,Team Member,8/18/2021,10/17/1988,Single or Married filing separately,TX,016874136,16874136,Prinko Bank,Checking,Active,Salary,15412
101007,Valarie,,Lopez,123456796,626 Roush Lane,,Houston,TX,77658,8328561162,employee8@gmail.com,Team Member,2/9/2021,10/8/1995,Married or filing jointly,TX,000000000,1.65E+11,Prinko Bank,Checking,Inactive,Hourly,15
101008,James,E,Wimbush,123456797,240 Hobart St.,,Houston,TX,77258,8328561163,employee9@gmail.com,Law Manager,3/6/2021,11/3/1974,Single or Married filing separately,TX,516461313,516461313,Rolling Bank,Checking,Inactive,Salary,95000
